timestamp,label,class,technique_id,ruleset_phase,session_id,rule_id,rule_canonical,rule_level,rule_description,rule_mitre,image,parent_image,command_line,command_line_normalised,target_filename,target_object,details,event_type
2026-08-09T10:50:35.565+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\DevicesFlowUserSvc_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k DevicesFlow,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\DevicesFlowUserSvc_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k DevicesFlow,SetValue
2026-08-09T10:50:35.593+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\MessagingService_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\MessagingService_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,SetValue
2026-08-09T10:50:35.640+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\OneSyncSvc_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\OneSyncSvc_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,SetValue
2026-08-09T10:50:35.686+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\PimIndexMaintenanceSvc_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\PimIndexMaintenanceSvc_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,SetValue
2026-08-09T10:50:35.750+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\PrintWorkflowUserSvc_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k PrintWorkflow,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\PrintWorkflowUserSvc_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k PrintWorkflow,SetValue
2026-08-09T10:50:35.798+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\UdkUserSvc_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UdkSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\UdkUserSvc_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k UdkSvcGroup,SetValue
2026-08-09T10:50:35.910+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\UnistoreSvc_557c9\\ImagePath binary is: C:\\Windows\\System32\\svchost.exe -k UnistackSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\UnistoreSvc_557c9\\ImagePath,C:\\Windows\\System32\\svchost.exe -k UnistackSvcGroup,SetValue
2026-08-09T10:50:36.003+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\UserDataSvc_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\UserDataSvc_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,SetValue
2026-08-09T10:50:36.048+0000,0,unlabelled,,,,92307,92307,3,Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\WpnUserService_557c9\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,T1543.003,C:\\Windows\\system32\\services.exe,,,,,HKLM\\System\\CurrentControlSet\\Services\\WpnUserService_557c9\\ImagePath,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup,SetValue
2026-08-09T10:50:40.161+0000,0,unlabelled,,,,60118,60118,3,Windows Workstation Logon Success,T1078,,,,,,,,
2026-08-09T10:50:40.162+0000,0,unlabelled,,,,60118,60118,3,Windows Workstation Logon Success,T1078,,,,,,,,
2026-08-09T10:50:40.204+0000,0,unlabelled,,,,67028,67028,3,Special privileges assigned to new logon.,T1484,,,,,,,,
2026-08-09T10:50:40.205+0000,0,unlabelled,,,,67023,67023,3,Non service account logged off.,,,,,,,,,
2026-08-09T10:50:40.302+0000,0,unlabelled,,,,67023,67023,3,Non service account logged off.,,,,,,,,,
2026-08-09T10:50:49.150+0000,0,unlabelled,,,,60646,60646,5,License activation (slui.exe) failed.,,,,,,,,,
2026-08-09T10:50:49.488+0000,0,unlabelled,,,,100260,100260,12,T1112 Security control or logging policy DISABLED via registry: HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableRealtimeMonitoring,T1112;T1562.001,C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26070.9-0\\MsMpEng.exe,,,,,HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableRealtimeMonitoring,DWORD (0x00000000),SetValue
2026-08-09T10:50:49.793+0000,0,unlabelled,,,,60646,60646,5,License activation (slui.exe) failed.,,,,,,,,,
2026-08-09T10:51:22.544+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T10:51:50.125+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T10:51:57.523+0000,0,unlabelled,,,,100291,100291,8,T1547.001 Autostart Run key written by C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,T1547.001,C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe,,,,,HKU\\S-1-5-21-2222415442-2274113341-2221785704-1001\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\MicrosoftEdgeAutoLaunch_5192253F57FA3B4C1E2D7D70989B6E12,"\""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe\"" --no-startup-window --win-session-start",SetValue
2026-08-09T10:52:37.285+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T10:52:58.769+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T10:53:18.861+0000,0,unlabelled,,,,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T10:53:18.876+0000,0,unlabelled,,,,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T10:53:19.485+0000,0,unlabelled,,,,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T10:53:19.526+0000,0,unlabelled,,,,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T10:53:20.522+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T10:53:20.541+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T10:53:22.895+0000,0,unlabelled,,,,61102,61102,5,Windows System error event,,,,,,,,,
2026-08-09T10:53:25.831+0000,0,unlabelled,,,,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T10:53:27.327+0000,0,unlabelled,,,,60608,60608,4,Summary event of the report's signatures.,,,,,,,,,
2026-08-09T10:54:18.841+0000,0,unlabelled,,,,100261,100261,8,T1112 Security control or logging policy modified: HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableRealtimeMonitoring,T1112,C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26070.9-0\\MsMpEng.exe,,,,,HKLM\\SOFTWARE\\Microsoft\\Windows Defender\\Real-Time Protection\\DisableRealtimeMonitoring,DWORD (0x00000001),SetValue
2026-08-09T10:55:04.519+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T10:55:10.453+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T10:56:35.215+0000,0,unlabelled,,,,60702,60702,5,The VSS service is shutting down due to idle timeout.,,,,,,,,,
2026-08-09T10:56:52.720+0000,0,unlabelled,,,,92004,cmd-spawned-by-nonshell-parent,4,Powershell process spawned Windows command shell instance,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""C:\\Windows\\system32\\cmd.exe\"" /c \""net user\""","\""cmd.exe\"" /c \""net user\""",,,,
2026-08-09T10:56:52.728+0000,0,unlabelled,,,,100200,100200,10,T1087.001 Local Account Discovery via net.exe,T1087.001,C:\\Windows\\System32\\net.exe,C:\\Windows\\System32\\cmd.exe,net  user,net  user,,,,
2026-08-09T10:59:08.776+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T10:59:26.918+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T11:00:22.030+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:01:37.950+0000,0,unlabelled,,,,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32 vbscript:\""\\..\\mshtml,RunHTMLApplication \""+String(CreateObject(\""WScript.Shell\"").Run(\""calc.exe\""),0)","\""cmd.exe\"" /c rundll32 vbscript:\""\..\mshtml,RunHTMLApplication \""+String(CreateObject(\""WScript.Shell\"").Run(\""calc.exe\""),0)",,,,
2026-08-09T11:01:37.958+0000,0,unlabelled,,,,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32  vbscript:\""\\..\\mshtml,RunHTMLApplication \""+String(CreateObject(\""WScript.Shell\"").Run(\""calc.exe\""),0)","rundll32  vbscript:\""\..\mshtml,RunHTMLApplication \""+String(CreateObject(\""WScript.Shell\"").Run(\""calc.exe\""),0)",,,,
2026-08-09T11:01:43.316+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:02:05.436+0000,0,unlabelled,,,,61104,61104,3,Service startup type was changed,,,,,,,,,
2026-08-09T11:02:45.841+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:03:58.639+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:04:03.037+0000,0,unlabelled,,,,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\\System32\\notepad.exe","\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\System32\notepad.exe",,,,
2026-08-09T11:04:03.051+0000,0,unlabelled,,,,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  pcwutl.dll,LaunchApplication C:\\Windows\\System32\\notepad.exe","rundll32.exe  pcwutl.dll,LaunchApplication notepad.exe",,,,
2026-08-09T11:04:03.168+0000,0,unlabelled,,,,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe","\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:04:03.169+0000,0,unlabelled,,,,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  url.dll,FileProtocolHandler calc.exe","rundll32.exe  url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:06:29.457+0000,0,unlabelled,,,,92027,92027,4,Powershell process spawned powershell instance,T1059.001,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\\""\""'%%windir%%\\System32\\calc.exe'\\\""\""}","\""powershell.exe\"" &amp; {rundll32.exe zipfldr.dll,RouteTheCall \\""\""'%%windir%%\System32\calc.exe'\\""\""}",,,,
2026-08-09T11:08:13.580+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:09:19.227+0000,0,unlabelled,,,,60642,60642,3,Software protection service scheduled successfully.,,,,,,,,,
2026-08-09T11:10:38.951+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\\System32\\notepad.exe","\""cmd.exe\"" /c rundll32.exe pcwutl.dll,LaunchApplication %%windir%%\System32\notepad.exe",,,,
2026-08-09T11:10:38.956+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  pcwutl.dll,LaunchApplication C:\\Windows\\System32\\notepad.exe","rundll32.exe  pcwutl.dll,LaunchApplication notepad.exe",,,,
2026-08-09T11:10:40.981+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,92052,cmd-spawned-by-nonshell-parent,4,Windows command prompt started by an abnormal process,T1059.003,C:\\Windows\\System32\\cmd.exe,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,"\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe","\""cmd.exe\"" /c rundll32.exe url.dll,FileProtocolHandler calc.exe",,,,
2026-08-09T11:10:40.991+0000,1,attack,T1218.011,baseline,20260809-111015-attack-r1,92032,92032,3,Suspicious Windows cmd shell execution,T1087;T1059.003,C:\\Windows\\System32\\rundll32.exe,C:\\Windows\\System32\\cmd.exe,"rundll32.exe  url.dll,FileProtocolHandler calc.exe","rundll32.exe  url.dll,FileProtocolHandler calc.exe",,,,
